y/H,Re/1000,Sm /Ao,Co
0.35,0.1,0.05,0.07
0.35,0.1,0.1,0.14
0.35,0.1,0.15,0.23
0.35,0.1,0.2,0.32
0.35,0.5,0,0
0.35,0.5,0.05,0.05
0.35,0.5,0.1,0.11
0.35,0.5,0.15,0.19
0.35,0.5,0.2,0.25
0.35,1000,0,0
0.35,1000,0.05,0.02
0.35,1000,0.1,0.03
0.35,1000,0.15,0.05
0.35,1000,0.2,0.07
0.35,200,0,0
0.35,200,0.05,0.05
0.35,200,0.1,0.11
0.35,200,0.15,0.19
0.35,200,0.2,0.25
0.35,300,0,0
0.35,300,0.05,0.05
0.35,300,0.1,0.11
0.35,300,0.15,0.17
0.35,300,0.2,0.23
0.35,400,0,0
0.35,400,0.05,0.04
0.35,400,0.1,0.08
0.35,400,0.15,0.12
0.35,400,0.2,0.17
0.35,500,0,0
0.35,500,0.05,0.03
0.35,500,0.1,0.06
0.35,500,0.15,0.09
0.35,500,0.2,0.13
0.35,600,0,0
0.35,600,0.05,0.01
0.35,600,0.1,0.03
0.35,600,0.15,0.05
0.35,600,0.2,0.07
0.4,0.1,0,0
0.4,0.1,0.05,0.06
0.4,0.1,0.1,0.13
0.4,0.1,0.15,0.2
0.4,0.1,0.2,0.28
0.4,0.5,0,0
0.4,0.5,0.05,0.05
0.4,0.5,0.1,0.1
0.4,0.5,0.15,0.16
0.4,0.5,0.2,0.22
0.4,1000,0,0
0.4,1000,0.05,0.01
0.4,1000,0.1,0.03
0.4,1000,0.15,0.05
0.4,1000,0.2,0.06
0.4,200,0,0
0.4,200,0.05,0.05
0.4,200,0.1,0.1
0.4,200,0.15,0.16
0.4,200,0.2,0.22
0.4,300,0,0
0.4,300,0.05,0.04
0.4,300,0.1,0.09
0.4,300,0.15,0.15
0.4,300,0.2,0.2
0.4,400,0,0
0.4,400,0.05,0.03
0.4,400,0.1,0.07
0.4,400,0.15,0.11
0.4,400,0.2,0.15
0.4,500,0,0
0.4,500,0.05,0.02
0.4,500,0.1,0.05
0.4,500,0.15,0.08
0.4,500,0.2,0.11
0.4,600,0,0
0.4,600,0.05,0.01
0.4,600,0.1,0.03
0.4,600,0.15,0.04
0.4,600,0.2,0.06
0,0.1,0,0
0,0.1,0.05,0.1
0,0.1,0.1,0.21
0,0.1,0.15,0.35
0,0.1,0.2,0.47
0,0.5,0,0
0,0.5,0.05,0.08
0,0.5,0.1,0.17
0,0.5,0.15,0.28
0,0.5,0.2,0.38
0,1000,0,0
0,1000,0.05,0.02
0,1000,0.1,0.05
0,1000,0.15,0.08
0,1000,0.2,0.11
0,200,0,0
0,200,0.05,0.08
0,200,0.1,0.17
0,200,0.15,0.28
0,200,0.2,0.38
0,300,0,0
0,300,0.05,0.07
0,300,0.1,0.16
0,300,0.15,0.26
0,300,0.2,0.35
0,400,0,0
0,400,0.05,0.05
0,400,0.1,0.11
0,400,0.15,0.19
0,400,0.2,0.25
0,500,0,0
0,500,0.05,0.04
0,500,0.1,0.09
0,500,0.15,0.14
0,500,0.2,0.19
0,600,0,0
0,600,0.05,0.02
0,600,0.1,0.05
0,600,0.15,0.07
0,600,0.2,0.1
